	fi	x	y	x*	y*							a	b	r
0	0	8	4	8	4							5	4	3
1	10	7.954423259	4.520944533	7.954423259	4.520944533									
2	20	7.819077862	5.02606043	7.819077862	5.02606043									
3	30	7.598076211	5.5	7.598076211	5.5									
4	40	7.298133329	5.928362829	7.298133329	5.928362829									
5	50	6.928362829	6.298133329	6.928362829	6.298133329									
6	60	6.5	6.598076211	6.5	6.598076211									
7	70	6.02606043	6.819077862	6.02606043	6.819077862									
8	80	5.520944533	6.954423259	5.520944533	6.954423259									
9	90	5	7	5	7									
10	100	4.479055467	6.954423259	4.479055467	6.954423259									
11	110	3.97393957	6.819077862	3.97393957	6.819077862									
12	120	3.5	6.598076211	3.5	6.598076211									
13	130	3.071637171	6.298133329	3.071637171	6.298133329									
14	140	2.701866671	5.928362829	2.701866671	5.928362829									
15	150	2.401923789	5.5	2.401923789	5.5									
16	160	2.180922138	5.02606043	2.180922138	5.02606043									
17	170	2.045576741	4.520944533	2.045576741	4.520944533									
18	180	2	4	2	4									
19	190	2.045576741	3.479055467	2.045576741	3.479055467									
20	200	2.180922138	2.97393957	2.180922138	2.97393957									
21	210	2.401923789	2.5	2.401923789	2.5									
22	220	2.701866671	2.071637171	2.701866671	2.071637171									
23	230	3.071637171	1.701866671	3.071637171	1.701866671									
24	240	3.5	1.401923789	3.5	1.401923789									
25	250	3.97393957	1.180922138	3.97393957	1.180922138									
26	260	4.479055467	1.045576741	4.479055467	1.045576741									
27	270	5	1	5	1									
28	280	5.520944533	1.045576741	5.520944533	1.045576741									
29	290	6.02606043	1.180922138	6.02606043	1.180922138									
30	300	6.5	1.401923789	6.5	1.401923789									
31	310	6.928362829	1.701866671	6.928362829	1.701866671									
32	320	7.298133329	2.071637171	7.298133329	2.071637171									
33	330	7.598076211	2.5	7.598076211	2.5									
34	340	7.819077862	2.97393957	7.819077862	2.97393957									
35	350	7.954423259	3.479055467	7.954423259	3.479055467									
