	fi	teta	x	y	z	x*	y*	z*						a	b	r	z
0	0	0	8	4	6	8.049	4.033	5.959						5	4	3	6
1	36	0	7.427050983	5.763355757	6	7.477050983	5.798355757	5.983									
2	72	0	5.927050983	6.853169549	6	5.932050983	6.911169549	6.003									
3	108	0	4.072949017	6.853169549	6	4.153949017	6.839169549	6.009									
4	144	0	2.572949017	5.763355757	6	2.512949017	5.827355757	5.99									
5	180	0	2	4	6	2.034	3.957	6.096									
6	216	0	2.572949017	2.236644243	6	2.508949017	2.164644243	6.034									
7	252	0	4.072949017	1.146830451	6	3.999949017	1.217830451	6.001									
8	288	22.5	5.856483429	1.364015051	7.148050297	5.838483429	1.455015051	7.217050297									
9	324	22.5	7.242302728	2.370871708	7.148050297	7.278302728	2.435871708	7.124050297									
10	0	22.5	7.771638598	4	7.148050297	7.795638598	3.96	7.233050297									
11	36	22.5	7.242302728	5.629128292	7.148050297	7.318302728	5.596128292	7.087050297									
12	72	22.5	5.856483429	6.635984949	7.148050297	5.894483429	6.635984949	7.145050297									
13	108	22.5	4.143516571	6.635984949	7.148050297	4.228516571	6.616984949	7.069050297									
14	144	22.5	2.757697272	5.629128292	7.148050297	2.776697272	5.552128292	7.096050297									
15	180	22.5	2.228361402	4	7.148050297	2.243361402	3.951	7.235050297									
16	216	22.5	2.757697272	2.370871708	7.148050297	2.851697272	2.435871708	7.049050297									
17	252	22.5	4.143516571	1.364015051	7.148050297	4.171516571	1.378015051	7.219050297									
18	288	45	5.655524037	1.982504464	8.121320344	5.734524037	1.995504464	8.032320344									
19	324	45	6.716184208	2.753119187	8.121320344	6.632184208	2.795119187	8.064320344									
20	0	45	7.121320344	4	8.121320344	7.176320344	3.921	8.185320344									
21	36	45	6.716184208	5.246880813	8.121320344	6.707184208	5.228880813	8.176320344									
22	72	45	5.655524037	6.017495536	8.121320344	5.587524037	5.994495536	8.094320344									
23	108	45	4.344475963	6.017495536	8.121320344	4.366475963	6.021495536	8.221320344									
24	144	45	3.283815792	5.246880813	8.121320344	3.332815792	5.282880813	8.211320344									
25	180	45	2.878679656	4	8.121320344	2.784679656	4.09	8.022320344									
26	216	45	3.283815792	2.753119187	8.121320344	3.331815792	2.664119187	8.109320344									
27	252	45	4.344475963	1.982504464	8.121320344	4.377475963	1.975504464	8.121320344									
28	288	67.5	5.354767052	2.908139284	8.771638598	5.447767052	2.863139284	8.776638598									
29	324	67.5	5.928792201	3.325192966	8.771638598	6.011792201	3.362192966	8.766638598									
30	0	67.5	6.148050297	4	8.771638598	6.060050297	3.937	8.703638598									
31	36	67.5	5.928792201	4.674807034	8.771638598	5.951792201	4.627807034	8.684638598									
32	72	67.5	5.354767052	5.091860716	8.771638598	5.423767052	5.012860716	8.736638598									
33	108	67.5	4.645232948	5.091860716	8.771638598	4.673232948	5.054860716	8.749638598									
34	144	67.5	4.071207799	4.674807034	8.771638598	4.090207799	4.771807034	8.836638598									
35	180	67.5	3.851949703	4	8.771638598	3.940949703	4.053	8.707638598									
