	fi	teta	x	y	z	x*	y*	z*						a	b	r	z
0	0	0	8	4	6	8	4	6						5	4	3	6
1	36	0	7.427050983	5.763355757	6	7.427050983	5.763355757	6									
2	72	0	5.927050983	6.853169549	6	5.927050983	6.853169549	6									
3	108	0	4.072949017	6.853169549	6	4.072949017	6.853169549	6									
4	144	0	2.572949017	5.763355757	6	2.572949017	5.763355757	6									
5	180	0	2	4	6	2	4	6									
6	216	0	2.572949017	2.236644243	6	2.572949017	2.236644243	6									
7	252	0	4.072949017	1.146830451	6	4.072949017	1.146830451	6									
8	288	22.5	5.856483429	1.364015051	7.148050297	5.856483429	1.364015051	7.148050297									
9	324	22.5	7.242302728	2.370871708	7.148050297	7.242302728	2.370871708	7.148050297									
10	0	22.5	7.771638598	4	7.148050297	7.771638598	4	7.148050297									
11	36	22.5	7.242302728	5.629128292	7.148050297	7.242302728	5.629128292	7.148050297									
12	72	22.5	5.856483429	6.635984949	7.148050297	5.856483429	6.635984949	7.148050297									
13	108	22.5	4.143516571	6.635984949	7.148050297	4.143516571	6.635984949	7.148050297									
14	144	22.5	2.757697272	5.629128292	7.148050297	2.757697272	5.629128292	7.148050297									
15	180	22.5	2.228361402	4	7.148050297	2.228361402	4	7.148050297									
16	216	22.5	2.757697272	2.370871708	7.148050297	2.757697272	2.370871708	7.148050297									
17	252	22.5	4.143516571	1.364015051	7.148050297	4.143516571	1.364015051	7.148050297									
18	288	45	5.655524037	1.982504464	8.121320344	5.655524037	1.982504464	8.121320344									
19	324	45	6.716184208	2.753119187	8.121320344	6.716184208	2.753119187	8.121320344									
20	0	45	7.121320344	4	8.121320344	7.121320344	4	8.121320344									
21	36	45	6.716184208	5.246880813	8.121320344	6.716184208	5.246880813	8.121320344									
22	72	45	5.655524037	6.017495536	8.121320344	5.655524037	6.017495536	8.121320344									
23	108	45	4.344475963	6.017495536	8.121320344	4.344475963	6.017495536	8.121320344									
24	144	45	3.283815792	5.246880813	8.121320344	3.283815792	5.246880813	8.121320344									
25	180	45	2.878679656	4	8.121320344	2.878679656	4	8.121320344									
26	216	45	3.283815792	2.753119187	8.121320344	3.283815792	2.753119187	8.121320344									
27	252	45	4.344475963	1.982504464	8.121320344	4.344475963	1.982504464	8.121320344									
28	288	67.5	5.354767052	2.908139284	8.771638598	5.354767052	2.908139284	8.771638598									
29	324	67.5	5.928792201	3.325192966	8.771638598	5.928792201	3.325192966	8.771638598									
30	0	67.5	6.148050297	4	8.771638598	6.148050297	4	8.771638598									
31	36	67.5	5.928792201	4.674807034	8.771638598	5.928792201	4.674807034	8.771638598									
32	72	67.5	5.354767052	5.091860716	8.771638598	5.354767052	5.091860716	8.771638598									
33	108	67.5	4.645232948	5.091860716	8.771638598	4.645232948	5.091860716	8.771638598									
34	144	67.5	4.071207799	4.674807034	8.771638598	4.071207799	4.674807034	8.771638598									
35	180	67.5	3.851949703	4	8.771638598	3.851949703	4	8.771638598									
