	fi	x	y	x*	y*							a	b	r
0	0	8	4	8,007	3,97							5	4	3
1	10	7,954423259	4,520944533	7,858423259	4,526944533									
2	20	7,819077862	5,02606043	7,816077862	4,97406043									
3	30	7,598076211	5,5	7,694076211	5,595									
4	40	7,298133329	5,928362829	7,269133329	5,952362829									
5	50	6,928362829	6,298133329	6,863362829	6,263133329									
6	60	6,5	6,598076211	6,555	6,596076211									
7	70	6,02606043	6,819077862	5,97006043	6,876077862									
8	80	5,520944533	6,954423259	5,442944533	6,982423259									
9	90	5	7	4,916	7,044									
10	100	4,479055467	6,954423259	4,553055467	6,959423259									
11	110	3,97393957	6,819077862	3,88793957	6,880077862									
12	120	3,5	6,598076211	3,431	6,684076211									
13	130	3,071637171	6,298133329	3,080637171	6,331133329									
14	140	2,701866671	5,928362829	2,638866671	5,889362829									
15	150	2,401923789	5,5	2,394923789	5,401									
16	160	2,180922138	5,02606043	2,140922138	4,94906043									
17	170	2,045576741	4,520944533	2,034576741	4,474944533									
18	180	2	4	2,066	3,926									
19	190	2,045576741	3,479055467	2,049576741	3,444055467									
20	200	2,180922138	2,97393957	2,243922138	2,97193957									
21	210	2,401923789	2,5	2,436923789	2,435									
22	220	2,701866671	2,071637171	2,795866671	2,139637171									
23	230	3,071637171	1,701866671	3,062637171	1,706866671									
24	240	3,5	1,401923789	3,449	1,356923789									
25	250	3,97393957	1,180922138	3,95793957	1,119922138									
26	260	4,479055467	1,045576741	4,486055467	0,989576741									
27	270	5	1	4,991	1,074									
28	280	5,520944533	1,045576741	5,526944533	1,093576741									
29	290	6,02606043	1,180922138	5,98506043	1,263922138									
30	300	6,5	1,401923789	6,529	1,425923789									
31	310	6,928362829	1,701866671	6,860362829	1,708866671									
32	320	7,298133329	2,071637171	7,368133329	2,077637171									
33	330	7,598076211	2,5	7,663076211	2,429									
34	340	7,819077862	2,97393957	7,796077862	2,98393957									
35	350	7,954423259	3,479055467	7,871423259	3,417055467									
