	fi	x	y	x*	y*							a	b	r
0	0	8	4	7,902	3,989							5	4	3
1	10	7,954423259	4,520944533	8,020423259	4,568944533									
2	20	7,819077862	5,02606043	7,903077862	5,10006043									
3	30	7,598076211	5,5	7,517076211	5,587									
4	40	7,298133329	5,928362829	7,265133329	5,876362829									
5	50	6,928362829	6,298133329	6,893362829	6,378133329									
6	60	6,5	6,598076211	6,587	6,598076211									
7	70	6,02606043	6,819077862	6,10406043	6,912077862									
8	80	5,520944533	6,954423259	5,597944533	6,949423259									
9	90	5	7	5,088	7,066									
10	100	4,479055467	6,954423259	4,429055467	7,036423259									
11	110	3,97393957	6,819077862	3,93293957	6,848077862									
12	120	3,5	6,598076211	3,474	6,590076211									
13	130	3,071637171	6,298133329	3,096637171	6,255133329									
14	140	2,701866671	5,928362829	2,698866671	5,985362829									
15	150	2,401923789	5,5	2,304923789	5,441									
16	160	2,180922138	5,02606043	2,147922138	5,11906043									
17	170	2,045576741	4,520944533	1,970576741	4,559944533									
18	180	2	4	2,073	4,077									
19	190	2,045576741	3,479055467	1,991576741	3,454055467									
20	200	2,180922138	2,97393957	2,192922138	2,90293957									
21	210	2,401923789	2,5	2,414923789	2,512									
22	220	2,701866671	2,071637171	2,622866671	2,099637171									
23	230	3,071637171	1,701866671	3,004637171	1,698866671									
24	240	3,5	1,401923789	3,55	1,331923789									
25	250	3,97393957	1,180922138	4,04993957	1,235922138									
26	260	4,479055467	1,045576741	4,434055467	1,005576741									
27	270	5	1	4,959	0,961									
28	280	5,520944533	1,045576741	5,518944533	0,949576741									
29	290	6,02606043	1,180922138	6,12106043	1,156922138									
30	300	6,5	1,401923789	6,402	1,424923789									
31	310	6,928362829	1,701866671	6,910362829	1,612866671									
32	320	7,298133329	2,071637171	7,357133329	2,107637171									
33	330	7,598076211	2,5	7,642076211	2,427									
34	340	7,819077862	2,97393957	7,832077862	3,03093957									
35	350	7,954423259	3,479055467	7,907423259	3,565055467									
