	fi	x	y	x*	y*							a	b	r
0	0	9	4	9,088	4,03							5	4	4
1	10	8,939231012	4,694592711	8,903231012	4,770592711									
2	20	8,758770483	5,368080573	8,680770483	5,464080573									
3	30	8,464101615	6	8,503101615	5,911									
4	40	8,064177772	6,571150439	8,161177772	6,655150439									
5	50	7,571150439	7,064177772	7,484150439	7,110177772									
6	60	7	7,464101615	6,968	7,435101615									
7	70	6,368080573	7,758770483	6,330080573	7,801770483									
8	80	5,694592711	7,939231012	5,744592711	7,872231012									
9	90	5	8	4,926	7,974									
10	100	4,305407289	7,939231012	4,309407289	7,960231012									
11	110	3,631919427	7,758770483	3,551919427	7,853770483									
12	120	3	7,464101615	3,01	7,506101615									
13	130	2,428849561	7,064177772	2,369849561	7,077177772									
14	140	1,935822228	6,571150439	1,851822228	6,636150439									
15	150	1,535898385	6	1,600898385	6,03									
16	160	1,241229517	5,368080573	1,267229517	5,330080573									
17	170	1,060768988	4,694592711	1,088768988	4,717592711									
18	180	1	4	0,912	3,905									
19	190	1,060768988	3,305407289	1,013768988	3,312407289									
20	200	1,241229517	2,631919427	1,261229517	2,554919427									
21	210	1,535898385	2	1,626898385	2,079									
22	220	1,935822228	1,428849561	1,995822228	1,511849561									
23	230	2,428849561	0,935822228	2,494849561	0,982822228									
24	240	3	0,535898385	3,057	0,453898385									
25	250	3,631919427	0,241229517	3,537919427	0,152229517									
26	260	4,305407289	0,060768988	4,339407289	-0,028231012									
27	270	5	0	4,941	-0,02									
28	280	5,694592711	0,060768988	5,776592711	0,036768988									
29	290	6,368080573	0,241229517	6,292080573	0,235229517									
30	300	7	0,535898385	7,048	0,543898385									
31	310	7,571150439	0,935822228	7,551150439	1,032822228									
32	320	8,064177772	1,428849561	8,122177772	1,514849561									
33	330	8,464101615	2	8,416101615	2,021									
34	340	8,758770483	2,631919427	8,821770483	2,579919427									
35	350	8,939231012	3,305407289	8,878231012	3,297407289									
